Croc,DNA,Binary DNA,A1,A2,A3,A4,A5,A6,A7,A8,A9,Attr List
1,2019870007911448604,1110000001000000001010001001000001010000001110000000000011100,0,28,8,5,18,10,7,0,28,0 | 28 | 8 | 5 | 18 | 10 | 7 | 0 | 28
2,166597157506723020811,10010000100000000000000000000001010100110010000001110000000000001011,9,8,0,0,21,50,7,0,11,9 | 8 | 0 | 0 | 21 | 50 | 7 | 0 | 11
3,434044318701912081,11000000110000010010000001000011001000000010000000000010001,0,6,6,9,2,25,1,0,17,0 | 6 | 6 | 9 | 2 | 25 | 1 | 0 | 17
4,2161758715408351255,1111000000000000111000001100100100010000001010000000000010111,0,30,0,28,25,34,5,0,23,0 | 30 | 0 | 28 | 25 | 34 | 5 | 0 | 23
5,1232047983974350866,1000100011001000111010001110100011111000001110000000000010010,0,17,25,29,29,31,7,0,18,0 | 17 | 25 | 29 | 29 | 31 | 7 | 0 | 18
6,1130491697102853,100000001000010110100011100000001110000000000000101,0,0,4,4,45,28,7,0,5,0 | 0 | 4 | 4 | 45 | 28 | 7 | 0 | 5
7,277205565501614457363,11110000011100000000000000010010000000101101000000100000001000010011,15,7,0,1,32,45,2,2,19,15 | 7 | 0 | 1 | 32 | 45 | 2 | 2 | 19
8,4503629843464196,10000000000000000011100001001000001010000000000000100,0,0,16,0,7,9,5,0,4,0 | 0 | 16 | 0 | 7 | 9 | 5 | 0 | 4
9,432351126864789505,11000000000000001010000111100100111000001000000000000000001,0,6,0,5,15,39,4,0,1,0 | 6 | 0 | 5 | 15 | 39 | 4 | 0 | 1
10,504403248980754453,11100000000000000000001010100011111000011010000000000010101,0,7,0,0,21,31,13,0,21,0 | 7 | 0 | 0 | 21 | 31 | 13 | 0 | 21
11,3121570084421660,1011000101110000110100101100000001100000000000011100,0,0,11,23,13,44,6,0,28,0 | 0 | 11 | 23 | 13 | 44 | 6 | 0 | 28
12,2089674664623734817,1110100000000000001000000100100110001000010000000000000100001,0,29,0,4,9,49,8,0,33,0 | 29 | 0 | 4 | 9 | 49 | 8 | 0 | 33
13,2164310604788662280,1111000001001001011010000011100101110000010100000000000001000,0,30,9,45,7,46,10,0,8,0 | 30 | 9 | 45 | 7 | 46 | 10 | 0 | 8
14,2957189333972746242,10100100001010000011000000100000001001000001010000000000000010,0,41,10,12,8,9,5,0,2,0 | 41 | 10 | 12 | 8 | 9 | 5 | 0 | 2
15,55916695366300074015,110000100000000000000000100010110100100010000011000000000000011111,3,8,0,2,45,34,12,0,31,3 | 8 | 0 | 2 | 45 | 34 | 12 | 0 | 31
16,9094103059,1000011110000011010000000000010011,0,0,0,0,2,30,13,0,19,0 | 0 | 0 | 0 | 2 | 30 | 13 | 0 | 19
17,2089674762954997765,1110100000000000001000010000000010110000010000000000000000101,0,29,0,4,32,22,8,0,5,0 | 29 | 0 | 4 | 32 | 22 | 8 | 0 | 5
18,74880122763411466,100001010000001110001001100101110000011010000000000001010,0,1,10,7,19,46,13,0,10,0 | 1 | 10 | 7 | 19 | 46 | 13 | 0 | 10
19,2959759008678608919,10100100010011001011010010001100001101000011010000000000010111,0,41,19,45,35,13,13,0,23,0 | 41 | 19 | 45 | 35 | 13 | 13 | 0 | 23
20,315663503917091,1000111110001100000100011000001010000000000100011,0,0,1,31,24,35,5,0,35,0 | 0 | 1 | 31 | 24 | 35 | 5 | 0 | 35
21,1519127124508934156,1010100010101000001100001001000110001000001000000000000001100,0,21,21,6,18,49,4,0,12,0 | 21 | 21 | 6 | 18 | 49 | 4 | 0 | 12
22,144151528029356066,1000000000001000010000110100001110000001010000000000100010,0,2,0,33,13,14,5,0,34,0 | 2 | 0 | 33 | 13 | 14 | 5 | 0 | 34
23,9925669486599,10010000011100000000000000010000000000000111,0,0,0,9,7,0,1,0,7,0 | 0 | 0 | 9 | 7 | 0 | 1 | 0 | 7
24,2089687824034365460,1110100000000000100000000000100011011000001110000000000010100,0,29,0,16,1,27,7,0,20,0 | 29 | 0 | 16 | 1 | 27 | 7 | 0 | 20
25,5917628506308634,10101000001100000110101000001000010000000000000011010,0,0,21,6,13,65,8,0,26,0 | 0 | 21 | 6 | 13 | 65 | 8 | 0 | 26
26,2164280917286387713,1111000001001000100100000011100000101000000110000000000000001,0,30,9,18,7,5,3,0,1,0 | 30 | 9 | 18 | 7 | 5 | 3 | 0 | 1
27,1162197213184005,100001000010000001100100000000011010000000000000101,0,0,4,33,3,32,13,0,5,0 | 0 | 4 | 33 | 3 | 32 | 13 | 0 | 5
28,3992361667854349,1110001011110000100000100011000001110000000000001101,0,0,14,47,8,35,7,0,13,0 | 0 | 14 | 47 | 8 | 35 | 7 | 0 | 13
29,5119433865691152,10010001100000001100100010101000001000000000000010000,0,0,18,48,25,21,4,0,16,0 | 0 | 18 | 48 | 25 | 21 | 4 | 0 | 16
30,1585298967690805297,1011000000000000111010000001100001000000000010000000000110001,0,22,0,29,3,8,1,0,49,0 | 22 | 0 | 29 | 3 | 8 | 1 | 0 | 49
31,2958067878861013044,10100100001101001010110001000000110101000000010000000000110100,0,41,13,43,16,53,1,0,52,0 | 41 | 13 | 43 | 16 | 53 | 1 | 0 | 52
32,145011316343177223,1000000011001011110000011000011111000011000000000000000111,0,2,3,47,6,31,12,0,7,0 | 2 | 3 | 47 | 6 | 31 | 12 | 0 | 7
33,277213466540044779554,11110000011100011100000100110001010000001010000000010000000000100010,15,7,28,19,20,10,1,0,34,15 | 7 | 28 | 19 | 20 | 10 | 1 | 0 | 34
34,1801439859924074498,1100100000000000000000000001000010111000000010000000000000010,0,25,0,0,2,23,1,0,2,0 | 25 | 0 | 0 | 2 | 23 | 1 | 0 | 2
35,2738195235405824016,10011000000000000001100000111100011100000010000000000000010000,0,38,0,6,15,28,8,0,16,0 | 38 | 0 | 6 | 15 | 28 | 8 | 0 | 16
