croc,overall_rarity,a1,a2,a3,a4,a5,a6,a7,a8,a9,a1_rarity,a2_rarity,a3_rarity,a4_rarity,a5_rarity,a6_rarity,a7_rarity,a8_rarity,a9_rarity
1,12314179.237638,0,28,8,5,18,10,7,0,28,85.734,1.631,1.339,3.555,3.33,2.734,11.037,90.92,2.025
2,47863507.4314369,9,8,0,0,21,50,7,0,11,0.945,2.216,57.763,20.545,2.408,1.845,11.037,90.92,4.32
3,1765554.84651043,0,6,6,9,2,25,1,0,17,85.734,2.261,1.001,1.294,1.8,1.013,18.126,90.92,2.34
4,344144028.266176,0,30,0,28,25,34,5,0,23,85.734,2.509,57.763,1.564,4.433,2.385,14.75,90.92,1.249
5,2412476.95022027,0,17,25,29,29,31,7,0,18,85.734,0.394,1.834,3.589,3.319,1.744,11.037,90.92,1.868
6,22792263.8304265,0,0,4,4,45,28,7,0,5,85.734,32.673,1.89,1.44,0.945,0.664,11.037,90.92,4.748
7,41648.2884714901,15,7,0,1,32,45,2,2,19,1.868,1.598,57.763,1.958,1.159,2.396,3.184,6.019,2.318
8,3923781645.50656,0,0,16,0,7,9,5,0,4,85.734,32.673,1.553,20.545,4.197,1.834,14.75,90.92,4.253
9,640292794.851664,0,6,0,5,15,39,4,0,1,85.734,2.261,57.763,3.555,3.792,0.81,11.352,90.92,5.074
10,1059732646.79468,0,7,0,0,21,31,13,0,21,85.734,1.598,57.763,20.545,2.408,1.744,10.992,90.92,1.553
11,117935028.538024,0,0,11,23,13,44,6,0,28,85.734,32.673,1.834,3.938,6.503,2.757,1.766,90.92,2.025
12,13261234.7193696,0,29,0,4,9,49,8,0,33,85.734,1.688,57.763,1.44,2.847,1.789,2.937,90.92,0.81
13,4049068.58110952,0,30,9,45,7,46,10,0,8,85.734,2.509,0.945,1.226,4.197,2.678,3.893,90.92,4.084
14,67024868.2153079,0,41,10,12,8,9,5,0,2,85.734,3.297,1.879,2.104,5.052,1.834,14.75,90.92,4.827
15,716915.389946505,3,8,0,2,45,34,12,0,31,1.564,2.216,57.763,4.242,0.945,2.385,2.543,90.92,1.62
16,36969458123.3986,0,0,0,0,2,30,13,0,19,85.734,32.673,57.763,20.545,1.8,2.667,10.992,90.92,2.318
17,48962250.0409836,0,29,0,4,32,22,8,0,5,85.734,1.688,57.763,1.44,1.159,2.768,2.937,90.92,4.748
18,30510493.7951375,0,1,10,7,19,46,13,0,10,85.734,2.903,1.879,3.24,1.755,2.678,10.992,90.92,4.287
19,12914928.7011415,0,41,19,45,35,13,13,0,23,85.734,3.297,4.388,1.226,4.32,1.575,10.992,90.92,1.249
20,38110660.7432784,0,0,1,31,24,35,5,0,35,85.734,32.673,0.653,0.923,5.142,1.564,14.75,90.92,2.093
21,6850140.01171282,0,21,21,6,18,49,4,0,12,85.734,0.664,1.193,3.488,3.33,1.789,11.352,90.92,4.703
22,511424441.683973,0,2,0,33,13,14,5,0,34,85.734,1.778,57.763,3.364,6.503,1.53,14.75,90.92,1.294
23,16557813540.9199,0,0,0,9,7,0,1,0,7,85.734,32.673,57.763,1.294,4.197,2.667,18.126,90.92,4.287
24,140334741.129093,0,29,0,16,1,27,7,0,20,85.734,1.688,57.763,1.103,3.105,2.171,11.037,90.92,2.25
25,62854375.3201018,0,0,21,6,13,65,8,0,26,85.734,32.673,1.193,3.488,6.503,1.89,2.937,90.92,1.643
26,1611718.24949529,0,30,9,18,7,5,3,0,1,85.734,2.509,0.945,0.518,4.197,1.665,4.748,90.92,5.074
27,1072246015.50688,0,0,4,33,3,32,13,0,5,85.734,32.673,1.89,3.364,4.32,2.937,10.992,90.92,4.748
28,285372814.822595,0,0,14,47,8,35,7,0,13,85.734,32.673,2.025,2.892,5.052,1.564,11.037,90.92,2.194
29,42968450.0187954,0,0,18,48,25,21,4,0,16,85.734,32.673,1.373,1.26,4.433,1.485,11.352,90.92,1.305
8655,312560476.157269,0,0,0,0,29,69,2,0,45,85.734,32.673,57.763,20.545,3.319,0.113,3.184,90.92,0.866
30,721204955.728744,0,22,0,29,3,8,1,0,49,85.734,2.532,57.763,3.589,4.32,2.779,18.126,90.92,0.81
31,378894.342043182,0,41,13,43,16,53,1,0,52,85.734,3.297,0.304,2.475,1.991,0.911,18.126,90.92,0.596
32,10044651.4415973,0,2,3,47,6,31,12,0,7,85.734,1.778,2.048,2.892,6.436,1.744,2.543,90.92,4.287
33,2408.26874328444,15,7,28,19,20,10,1,0,34,1.868,1.598,0.338,0.743,0.551,2.734,18.126,90.92,1.294
34,2042582724.92184,0,25,0,0,2,23,1,0,2,85.734,1.519,57.763,20.545,1.8,0.923,18.126,90.92,4.827
35,27963141.9601006,0,38,0,6,15,28,8,0,16,85.734,1.845,57.763,3.488,3.792,0.664,2.937,90.92,1.305
36,64220454.1690817,0,43,0,45,9,63,19,0,12,85.734,1.328,57.763,1.226,2.847,1.823,3.589,90.92,4.703
37,4130521539.82646,0,5,0,0,29,40,7,0,3,85.734,1.271,57.763,20.545,3.319,1.845,11.037,90.92,5.198
38,139996150.735973,0,2,0,16,22,50,5,0,6,85.734,1.778,57.763,1.103,1.665,1.845,14.75,90.92,3.499
39,3476783946.97998,0,0,5,0,25,61,13,0,7,85.734,32.673,1.778,20.545,4.433,1.789,10.992,90.92,4.287
40,149239532.958142,0,0,17,13,6,62,12,0,17,85.734,32.673,1.856,3.105,6.436,2.655,2.543,90.92,2.34
41,500035887.819664,0,34,0,29,8,32,14,0,3,85.734,2.003,57.763,3.589,5.052,2.937,2.003,90.92,5.198
42,160291489.359493,0,0,27,0,13,68,1,0,28,85.734,32.673,1.035,20.545,6.503,0.124,18.126,90.92,2.025
43,11972115.196265,0,18,0,8,13,1,1,0,16,85.734,0.979,57.763,0.383,6.503,0.461,18.126,90.92,1.305
44,662281987.787688,0,34,0,2,13,31,19,0,4,85.734,2.003,57.763,4.242,6.503,1.744,3.589,90.92,4.253
45,1706168676.36053,0,0,7,0,1,15,13,0,28,85.734,32.673,1.823,20.545,3.105,2.588,10.992,90.92,2.025
46,1565217624.38793,0,0,0,13,7,29,13,0,34,85.734,32.673,57.763,3.105,4.197,0.574,10.992,90.92,1.294
47,31733016.8593186,0,6,0,17,22,45,7,0,25,85.734,2.261,57.763,0.27,1.665,2.396,11.037,90.92,2.622
48,16764358794.3859,0,0,0,13,6,48,4,0,1,85.734,32.673,57.763,3.105,6.436,0.99,11.352,90.92,5.074
49,1551315748.48102,0,15,0,0,13,31,7,0,49,85.734,1.654,57.763,20.545,6.503,1.744,11.037,90.92,0.81
50,2452392897.19712,0,22,0,23,6,31,4,0,7,85.734,2.532,57.763,3.938,6.436,1.744,11.352,90.92,4.287
51,222999022.837143,0,6,0,25,26,27,3,0,9,85.734,2.261,57.763,2.869,1.688,2.171,4.748,90.92,4.388
52,585776.089179937,9,8,0,20,25,18,7,0,51,0.945,2.216,57.763,0.799,4.433,2.329,11.037,90.92,0.585
53,15926020846.0838,0,0,0,25,33,44,7,0,6,85.734,32.673,57.763,2.869,3.544,2.757,11.037,90.92,3.499
54,234714717.340569,0,36,0,25,20,42,5,0,3,85.734,2.419,57.763,2.869,0.551,1.778,14.75,90.92,5.198
55,8844538171.44433,0,0,0,5,26,49,7,0,1,85.734,32.673,57.763,3.555,1.688,1.789,11.037,90.92,5.074
56,7174618487.14378,0,0,14,0,15,18,5,0,3,85.734,32.673,2.025,20.545,3.792,2.329,14.75,90.92,5.198
57,11522904523.3027,0,38,0,0,8,22,4,0,4,85.734,1.845,57.763,20.545,5.052,2.768,11.352,90.92,4.253
58,113.722404649175,4,51,14,0,6,75,5,8,13,0.934,0.36,2.025,20.545,6.436,0.068,14.75,0.574,2.194
8656,312434794427.981,0,0,0,0,7,46,1,0,1,85.734,32.673,57.763,20.545,4.197,2.678,18.126,90.92,5.074
59,5302507.66844896,6,3,0,7,6,50,5,0,15,0.956,0.979,57.763,3.24,6.436,1.845,14.75,90.92,1.901
60,56125592.9167138,0,12,0,43,13,8,3,2,8,85.734,2.171,57.763,2.475,6.503,2.779,4.748,6.019,4.084
61,208876576.818815,0,37,0,25,31,0,10,0,1,85.734,1.406,57.763,2.869,2.183,2.667,3.893,90.92,5.074
62,6458503.70318641,0,2,16,12,14,9,13,0,3,85.734,1.778,1.553,2.104,1.361,1.834,10.992,90.92,5.198
63,6735669917.6943,0,25,0,0,37,18,4,0,3,85.734,1.519,57.763,20.545,3.488,2.329,11.352,90.92,5.198
64,274491579.287817,0,0,17,2,29,44,13,0,22,85.734,32.673,1.856,4.242,3.319,2.757,10.992,90.92,1.361
65,17876740.0980953,0,0,27,31,30,46,13,0,22,85.734,32.673,1.035,0.923,1.834,2.678,10.992,90.92,1.361
66,65793712.0639948,0,0,4,48,8,53,5,0,24,85.734,32.673,1.89,1.26,5.052,0.911,14.75,90.92,1.598
67,1873792118.1751,0,35,0,0,25,37,1,0,24,85.734,2.802,57.763,20.545,4.433,0.563,18.126,90.92,1.598
68,27783355511.8202,0,0,0,2,33,62,7,0,10,85.734,32.673,57.763,4.242,3.544,2.655,11.037,90.92,4.287
69,519165.091290196,1,37,0,2,25,5,19,2,2,1.958,1.406,57.763,4.242,4.433,1.665,3.589,6.019,4.827
70,659006837.807393,0,43,0,6,12,35,5,0,10,85.734,1.328,57.763,3.488,3.195,1.564,14.75,90.92,4.287
71,68701731.2674546,0,26,7,5,13,62,13,0,6,85.734,2.048,1.823,3.555,6.503,2.655,10.992,90.92,3.499
72,6150908120.94018,0,7,0,0,21,9,1,0,3,85.734,1.598,57.763,20.545,2.408,1.834,18.126,90.92,5.198
73,168277941.433688,0,5,0,23,15,52,9,0,17,85.734,1.271,57.763,3.938,3.792,1.856,4.534,90.92,2.34
74,48143.915784439,0,33,26,20,25,35,1,2,30,85.734,1.508,1.89,0.799,4.433,1.564,18.126,6.019,0.326
75,672447313.343135,0,0,19,2,32,13,1,0,10,85.734,32.673,4.388,4.242,1.159,1.575,18.126,90.92,4.287
76,10837551.4347867,0,32,0,48,5,52,6,0,12,85.734,1.238,57.763,1.26,1.001,1.856,1.766,90.92,4.703
77,5879375326.9633,0,0,30,0,24,65,5,0,3,85.734,32.673,1.508,20.545,5.142,1.89,14.75,90.92,5.198
78,11109920.9038923,0,41,19,58,7,42,10,0,19,85.734,3.297,4.388,1.463,4.197,1.778,3.893,90.92,2.318
